p1; P 1
ima2[-cba]; Ima2 [-cba]
ic2m; I c 2 m
ima2(bca); Ima2 (bca)
ima2[bca]; Ima2 [bca]
im2a; I m 2 a
ima2(a-cb); Ima2 (a-cb)
ima2[a-cb]; Ima2 [a-cb]
pmmm; Pmmm
p2/m2/m2/m; P 2/m 2/m 2/m
pnnn; Pnnn
p2/n2/n2/n; P 2/n 2/n 2/n
p2/n2/n2/n:1; P 2/n 2/n 2/n : 1
pnnn:1; Pnnn : 1
pnnn(1); Pnnn (1)
pnnn[1]; Pnnn [1]
p2/n2/n2/n:2; P 2/n 2/n 2/n : 2
pnnn:2; Pnnn : 2
pnnn(2); Pnnn (2)
pnnn[2]; Pnnn [2]
pccm; Pccm
p2/c2/c2/m; P 2/c 2/c 2/m
p2/m2/a2/a; P 2/m 2/a 2/a
pccm(cab); Pccm (cab)
pccm[cab]; Pccm [cab]
p2/b2/m2/b; P 2/b 2/m 2/b
pccm(bca); Pccm (bca)
pccm[bca]; Pccm [bca]
pban; Pban
p2/b2/a2/n; P 2/b 2/a 2/n
pban(1abc); Pban (1abc)
pban[1abc]; Pban [1abc]
pban(2abc); Pban (2abc)
pban[2abc]; Pban [2abc]
p2/n2/c2/b; P 2/n 2/c 2/b
pban(1cab); Pban (1cab)
pban[1cab]; Pban [1cab]
pban(2cab); Pban (2cab)
pban[2cab]; Pban [2cab]
p2/c2/n2/a; P 2/c 2/n 2/a
pban(1bca); Pban (1bca)
pban[1bca]; Pban [1bca]
pban(2bca); Pban (2bca)
pban[2bca]; Pban [2bca]
pmma; Pmma
p2_1/m2/m2/a; P 2_1/m 2/m 2/a
p2/m2_1/m2/b; P 2/m 2_1/m 2/b
pmma(ba-c); Pmma (ba-c)
pmma[ba-c]; Pmma [ba-c]
p2/b2_1/m2/m; P 2/b 2_1/m 2/m
pmma(cab); Pmma (cab)
pmma[cab]; Pmma [cab]
p2/c2/m2_1/m; P 2/c 2/m 2_1/m
pmma(-cba); Pmma (-cba)
pmma[-cba]; Pmma [-cba]
p2/m2/c2_1/m; P 2/m 2/c 2_1/m
pmma(bca); Pmma (bca)
pmma[bca]; Pmma [bca]
p2_1/m2/a2/m; P 2_1/m 2/a 2/m
pmma(a-cb); Pmma (a-cb)
pmma[a-cb]; Pmma [a-cb]
pnna; Pnna
p2/n2_1/n2/a; P 2/n 2_1/n 2/a
p2_1/n2/n2/b; P 2_1/n 2/n 2/b
pnna(ba-c); Pnna (ba-c)
pnna[ba-c]; Pnna [ba-c]
p2/b2/n2_1/n; P 2/b 2/n 2_1/n
pnna(cab); Pnna (cab)
pnna[cab]; Pnna [cab]
p2/c2_1/n2/n; P 2/c 2_1/n 2/n
pnna(-cba); Pnna (-cba)
pnna[-cba]; Pnna [-cba]
p2_1/n2/c2/n; P 2_1/n 2/c 2/n
pnna(bca); Pnna (bca)
pnna[bca]; Pnna [bca]
p2/n2/a2_1/n; P 2/n 2/a 2_1/n
pnna(a-cb); Pnna (a-cb)
pnna[a-cb]; Pnna [a-cb]
pmna; Pmna
p2/m2/n2_1/a; P 2/m 2/n 2_1/a
p2/n2/m2_1/b; P 2/n 2/m 2_1/b
pmna(ba-c); Pmna (ba-c)
pmna[ba-c]; Pmna [ba-c]
p2_1/b2/m2/n; P 2_1/b 2/m 2/n
pmna(cab); Pmna (cab)
pmna[cab]; Pmna [cab]
p2_1/c2/n2/m; P 2_1/c 2/n 2/m
pmna(-cba); Pmna (-cba)
pmna[-cba]; Pmna [-cba]
p2/n2_1/c2/m; P 2/n 2_1/c 2/m
pmna(bca); Pmna (bca)
pmna[bca]; Pmna [bca]
p2/m2_1/a2/n; P 2/m 2_1/a 2/n
pmna(a-cb); Pmna (a-cb)
pmna[a-cb]; Pmna [a-cb]
pcca; Pcca
p2_1/c2/c2/a; P 2_1/c 2/c 2/a
p2/c2_1/c2/b; P 2/c 2_1/c 2/b
pcca(ba-c); Pcca (ba-c)
pcca[ba-c]; Pcca [ba-c]
p2/b2_1/a2/a; P 2/b 2_1/a 2/a
pcca(cab); Pcca (cab)
pcca[cab]; Pcca [cab]
p2/c2/a2_1/a; P 2/c 2/a 2_1/a
pcca(-cba); Pcca (-cba)
pcca[-cba]; Pcca [-cba]
p2/b2/c2_1/b; P 2/b 2/c 2_1/b
pcca(bca); Pcca (bca)
pcca[bca]; Pcca [bca]
p2_1/b2/a2/b; P 2_1/b 2/a 2/b
pcca(a-cb); Pcca (a-cb)
pcca[a-cb]; Pcca [a-cb]
pbam; Pbam
p2_1/b2_1/a2/m; P 2_1/b 2_1/a 2/m
p2/m2_1/c2_1/b; P 2/m 2_1/c 2_1/b
pbam(cab); Pbam (cab)
pbam[cab]; Pbam [cab]
p2_1/c2/m2_1/a; P 2_1/c 2/m 2_1/a
pbam(bca); Pbam (bca)
pbam[bca]; Pbam [bca]
pccn; Pccn
p2_1/c2_1/c2/n; P 2_1/c 2_1/c 2/n
p2/n2_1/a2_1/a; P 2/n 2_1/a 2_1/a
pccn(cab); Pccn (cab)
pccn[cab]; Pccn [cab]
p2_1/b2/n2_1/b; P 2_1/b 2/n 2_1/b
pccn(bca); Pccn (bca)
pccn[bca]; Pccn [bca]
pbcm; Pbcm
p2/b2_1/c2_1/m; P 2/b 2_1/c 2_1/m
p2_1/c2/a2_1/m; P 2_1/c 2/a 2_1/m
pbcm(ba-c); Pbcm (ba-c)
pbcm[ba-c]; Pbcm [ba-c]
p2_1/m2/c2_1/a; P 2_1/m 2/c 2_1/a
pbcm(cab); Pbcm (cab)
pbcm[cab]; Pbcm [cab]
p2_1/m2_1/a2/b; P 2_1/m 2_1/a 2/b
pbcm(-cba); Pbcm (-cba)
pbcm[-cba]; Pbcm [-cba]
p2_1/b2_1/m2/a; P 2_1/b 2_1/m 2/a
pbcm(bca); Pbcm (bca)
pbcm[bca]; Pbcm [bca]
p2/c2_1/m2_1/b; P 2/c 2_1/m 2_1/b
pbcm(a-cb); Pbcm (a-cb)
pbcm[a-cb]; Pbcm [a-cb]
pnnm; Pnnm
p2_1/n2_1/n2/m; P 2_1/n 2_1/n 2/m
p2/m2_1/n2_1/n; P 2/m 2_1/n 2_1/n
pnnm(cab); Pnnm (cab)
pnnm[cab]; Pnnm [cab]
p2_1/n2/m2_1/n; P 2_1/n 2/m 2_1/n
pnnm(bca); Pnnm (bca)
pnnm[bca]; Pnnm [bca]
pmmn; Pmmn
p2_1/m2_1/m2/n; P 2_1/m 2_1/m 2/n
pmmn(1abc); Pmmn (1abc)
pmmn[1abc]; Pmmn [1abc]
pmmn(2abc); Pmmn (2abc)
pmmn[2abc]; Pmmn [2abc]
p2/n2_1/m2_1/m; P 2/n 2_1/m 2_1/m
pmmn(1cab); Pmmn (1cab)
pmmn[1cab]; Pmmn [1cab]
pmmn(2cab); Pmmn (2cab)
pmmn[2cab]; Pmmn [2cab]
p2_1/m2/n2_1/m; P 2_1/m 2/n 2_1/m
pmmn(1bca); Pmmn (1bca)
pmmn[1bca]; Pmmn [1bca]
pmmn(2bca); Pmmn (2bca)
pmmn[2bca]; Pmmn [2bca]
pbcn; Pbcn
p2_1/b2/c2_1/n; P 2_1/b 2/c 2_1/n
p2/c2_1/a2_1/n; P 2/c 2_1/a 2_1/n
pbcn(ba-c); Pbcn (ba-c)
pbcn[ba-c]; Pbcn [ba-c]
p2_1/n2_1/c2/a; P 2_1/n 2_1/c 2/a
pbcn(cab); Pbcn (cab)
pbcn[cab]; Pbcn [cab]
